passenger1Id,passenger2Id,numberOfFlightsTogether
8289,3278,7
7865,7833,4
5933,5957,4
9954,6836,4
6136,6896,5
391,6084,4
8197,1218,4
9324,11284,4
12530,12584,4
2963,3540,4
2263,912,5
2998,2068,5
2965,2236,5
2965,2910,4
1330,1313,5
3567,3577,4
3510,2222,4
2236,1384,4
988,3678,4
5423,5447,5
2973,8048,5
92,3741,5
92,2745,5
3356,6805,10
9069,9098,10
8363,10358,4
12177,12133,5
3632,6616,4
8348,11593,4
1829,9653,5
12389,9171,5
2685,5240,6
5414,1064,4
4070,12594,4
1057,5560,4
5330,5376,4
9828,592,4
5775,9885,4
9413,9449,4
5543,6202,4
564,1246,5
1923,1993,6
1996,1961,4
1916,1988,4
1961,1971,4
6036,3807,4
743,709,5
771,706,6
701,762,6
739,799,5
799,773,5
1973,1902,5
1915,1998,4
746,752,8
712,703,5
3713,3902,4
4805,803,5
4872,7511,5
10584,10529,4
9828,8511,4
288,8444,4
8511,8399,4
5669,5734,4
5459,1464,9
5459,9063,8
556,4802,4
1678,10975,4
8114,1164,6
11987,4235,4
11957,7737,4
8539,6458,5
9294,10009,4
4735,2275,4
9720,9707,4
3880,1651,4
4914,1617,5
5478,2251,4
606,7606,5
613,5513,4
4881,4841,9
6010,2527,5
9903,9381,4
5587,5153,4
11610,10596,8
258,1041,5
258,9777,4
8006,7162,6
4408,1378,5
7579,736,6
4420,9858,4
8579,10196,6
2068,9858,6
10196,2097,4
3693,1064,4
2746,687,4
242,274,4
3689,3643,6
6255,6289,4
6474,8197,4
8685,1325,4
4004,7668,4
4170,2684,4
10771,2467,4
4362,3220,4
486,5233,4
5027,8514,4
1367,1391,6
3889,4828,4
338,2320,4
2320,5143,5
2665,2691,4
135,4827,6
402,1219,4
2635,1261,4
2998,3493,4
7170,7153,4
7590,4541,4
7162,2797,4
3601,3631,4
1322,1370,7
7439,7484,4
3623,3614,4
11200,11109,4
11200,11118,4
11109,11157,4
11135,11124,4
11135,11180,4
11191,11169,4
8400,3336,4
13839,13045,5
5886,7080,5
139,11834,5
18,6526,5
13107,13173,6
11879,2910,4
11508,10548,4
8698,10053,4
9082,2814,4
3048,3034,4
2761,4661,4
2005,9039,4
5798,5712,4
5727,5726,4
5718,5773,6
5747,5742,4
